Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
22;Türkiye Şişe ve Cam Fabrikaları A.Ş.;2021;14.703.260.690,00;16.408.278.822,00;6.640.444.025,00;21.928.090.133,00;42.296.143.884,00;7.516.628.179,00;5.565.850.001,00;628.362,00;9226;İstanbul Sanayi Odası;0,00;57,15;0,00;42,85;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Cam ve Camdan Mamul Eşya Sanayi;362       ;www.sisecam.com;İstanbul;Tuzla;İçmeler Mah. D100 Karayolu Cad. No.44A
23;Borçelik Çelik San. Tic. A.Ş.;2021;14.647.022.118,00;16.137.370.372,00;;;;;;419.537,00;;İstanbul Sanayi Odası;0,00;50,00;50,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.borcelik.com;İstanbul;Beyoğlu;Pürtelaş Hasan Mah. Meclisi Mebusan Cad. No.37 Salıpazarı
24;KARDEMİR Karabük Demir Çelik San. ve Tic. A.Ş.;2021;14.251.188.314,00;14.251.188.314,00;;;;;;;;Karabük Ticaret ve Sanayi Odası;0,00;0,00;0,00;100,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.kardemir.com;Karabük;Merkez;Öğlebeli Mah. Karabük Ankara Yolu Fabrika Sahası No.1
25;Eti Bakır A.Ş.;2021;14.007.829.088,00;14.846.186.528,00;11.523.996.591,00;19.177.739.736,00;28.671.956.690,00;12.514.926.456,00;10.622.014.063,00;408.968,00;;İnebolu Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Metal cevherleri madenciliği;07        ;"Madencilik ve Taşocakçılığı
";210       ;www.etibakir.com.tr;Kastamonu;Küre;Müderris Mah. Aşıköy Mevkii No.14/A
26;Vestel Elektronik San. ve Tic. A.Ş.;2021;13.647.964.362,00;13.757.230.863,00;;;;;;;;İstanbul Sanayi Odası;0,00;63,70;0,00;36,30;Bilgisayarların, elektronik ve optik ürünlerin imalatı;26        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.vestel.com.tr;İstanbul;Şişli;Levent 199 Büyükdere Cad. No.199
27;Sarkuysan Elektrolitik Bakır San. ve Tic. A.Ş.;2021;13.224.459.206,00;13.399.018.519,00;1.404.039.890,00;953.025.443,00;4.549.774.217,00;607.132.629,00;1.121.470.379,00;714.287,00;836;Kocaeli Sanayi Odası;0,00;0,00;0,00;100,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.sarkuysan.com;Kocaeli;Darıca;Emek Mah. Aşıroğlu Cad. No.147
28;TUSAŞTürk Havacılık ve Uzay Sanayii A.Ş.;2021;12.094.011.247,00;12.347.921.989,00;;4.887.828.040,00;42.898.955.248,00;;;359.493,00;10565;Ankara Sanayi Odası;45,45;54,55;0,00;0,00;Diğer ulaşım araçlarının imalatı;30        ;Taşıt Araçları Sanayi;384       ;www.tai.com.tr;Ankara;Kahramankazan;Fethiye Mah. Havacılık Bulvarı No.17 Akıncı
29;ErBakır Elektrolitik Bakır Mamulleri A.Ş.;2021;12.005.113.427,00;12.060.899.670,00;;;;;;870.960,00;703;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.erbakir.com.tr;Denizli;Merkezefendi;Bozburun Mah. Ahmet Nuri Erikoğlu Cad. No.29
30;Yücel Boru ve Profil Endüstrisi A.Ş.;2021;11.488.218.331,00;12.012.969.159,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.yucelboru.com.tr;İstanbul;Kadıköy;Rıhtım Cad. No.44 
31;Tatmetal Çelik San. ve Tic. A.Ş.;2021;11.082.495.599,00;11.103.257.762,00;;;;;;564.430,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.tatmetal.com.tr;İstanbul;Ataşehir;Küçükbakkalköy  Mah. Rüya Sok. No.1218 Kat.20 D.No.100
32;MMK Metalurji San. Tic. ve Liman İşletmeciliği A.Ş.;2021;11.032.762.832,00;11.034.420.273,00;;;;;;;;Dörtyol Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.mmkturkey.com.tr;Hatay;Dörtyol;Özerli Mah. Alparslan Türkeş Bulvarı No.342/91
33;Aygaz A.Ş.;2021;10.543.478.734,00;13.384.555.699,00;1.217.335.134,00;2.007.063.358,00;6.331.451.211,00;389.373.618,00;777.786.273,00;62.473,00;1227;İstanbul Sanayi Odası;0,00;75,73;0,00;24,27;Kok kömürü ve rafine edilmiş petrol ürünleri imalatı;19        ;Petrol Ürünleri Sanayi;353       ;www.aygaz.com.tr;İstanbul;Şişli;Büyükdere Cad. 145/1 Aygaz Han Zincirlikuyu
34;Türkiye Petrolleri Anonim Ortaklığı;2021;10.421.783.763,00;11.925.968.624,00;4.266.199.346,00;22.068.004.924,00;59.207.461.953,00;1.602.834.833,00;2.743.529.967,00;;3341;Kamu;100,00;0,00;0,00;0,00;Ham petrol ve doğal gaz çıkarımı;06        ;"Madencilik ve Taşocakçılığı
";210       ;www.tpao.gov.tr;Ankara;Çankaya;Söğütözü Mah. Nizami Gencevi Cad. No.10
35;Nadir Metal Rafineri San. ve Tic. A.Ş.;2021;10.219.805.666,00;10.840.592.053,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.nadirmetal.com.tr;İstanbul;Bahçelievler;Merkez Mah. Kuyumcular Sok. İstanbul Vizyon Park Genel Merkez Plaza No.4 İç Kapı No.1101 Yenibosna
36;Eti Maden İşletmeleri Genel Müdürlüğü;2021;9.997.494.711,00;9.997.780.379,00;6.696.197.718,00;8.617.155.372,00;9.992.659.891,00;5.885.469.054,00;5.604.392.659,00;893.536,00;4173;Kamu;100,00;0,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.etimaden.gov.tr;Ankara;Çankaya;Kızılırmak Mah. 1443. Cad. No.5
37;İzmir Demir Çelik Sanayi A.Ş.;2021;9.612.048.619,00;9.992.551.040,00;;;;;;292.296,00;1226;Ege Bölgesi Sanayi Odası;0,00;70,02;0,00;29,98;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.izdemir.com.tr;İzmir;Konak;Şair Eşref Bulvarı No.23 Çankaya
38;Türk Traktör ve Ziraat Makineleri A.Ş.;2021;9.557.365.093,00;11.852.602.761,00;;;;;;;;Ankara Sanayi Odası;0,00;37,50;37,50;25,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.turktraktor.com.tr;Ankara;Yenimahalle;Gazi Mah. Anadolu Bulvarı No.5252A
39;Assan Alüminyum San. ve Tic. A.Ş.;2021;9.266.786.385,00;9.531.982.577,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.assan.com.tr;İstanbul;Tuzla;Yayla Mah. D100 Karayolu Rüya Sok. No.2
40;Tosyalı Toyo Çelik A.Ş.;2021;9.244.063.813,00;9.244.249.367,00;;;;;;;;Osmaniye Ticaret ve Sanayi Odası;0,00;51,00;49,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.tosyalitoyo.com.tr;Osmaniye;Toprakkale;Büyük Tüysüz Mah. Kudamatsu Cad. No.4
41;Unilever San. ve Tic. T.A.Ş.;2021;9.184.417.194,00;10.677.964.820,00;;;;;;50.420,00;;İstanbul Sanayi Odası;0,00;0,01;99,99;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.unilever.com.tr;İstanbul;Ümraniye;Saray Mah. Dr. Adnan Büyükdeniz Cad. No.13
42;AKSA Akrilik Kimya Sanayii A.Ş.;2021;9.044.760.813,00;9.214.078.856,00;1.822.664.097,00;3.103.774.357,00;9.129.183.463,00;880.674.713,00;2.530.077.462,00;359.105,00;1307;Yalova Ticaret ve Sanayi Odası;0,00;59,82;0,00;40,18;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.aksa.com;Yalova;Çiftlikköy;Merkez Mah. Ali Raif Dinçkök Cad. No.2  Taşköprü
43;Modern Karton San. ve Tic. A.Ş.;2021;8.531.342.435,00;8.579.089.742,00;;;;;;;;Çorlu Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.modernkarton.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul Sitesi C2 Apt. No.2A/25
44;Enerjisa Enerji Üretim A.Ş.;2021;8.409.986.003,00;14.080.962.008,00;;5.144.544.484,00;16.707.749.506,00;;;;799;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.enerjisauretim.com.tr;İstanbul;Ataşehir;Ağaoğlu My Office Barbaros Mah. Çiğdem Sok. No.1
45;Kroman Çelik Sanayii A.Ş.;2021;8.383.637.174,00;10.958.417.492,00;;;;;;;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.kromancelik.com.tr;Kocaeli;Darıca;Emek Mah. Aşıroğlu Cad. No.155 
46;Bosch San. ve Tic. A.Ş.;2021;7.950.086.789,00;12.711.727.570,00;;;;;;925.218,00;7540;Bursa Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.bosch.com.tr;Bursa;Nilüfer;Organize Sanayi Bölgesi Yeşil Cad. No.27
47;Diler Demir Çelik Endüstri ve Ticaret A.Ş.;2021;7.938.128.001,00;8.063.242.007,00;;;5.629.932.125,00;;;507.740,00;987;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.dilerholding.com.tr;İstanbul;Sarıyer;Maslak Mah. Eskibüyükdere Cad. Koçkaya As Plaza Blok No.1 Kat.2 
48;Kastamonu Entegre Ağaç San. ve Tic. A.Ş.;2021;7.728.330.252,00;7.771.034.793,00;;;14.446.004.664,00;;;220.094,00;3050;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16        ;Ağaç ve Mantar Ürünleri Sanayi;331       ;www.keas.com.tr;İstanbul;Üsküdar;Altunizade Mah. Kısıklı Cad. No.13
49;Hayat Kimya Sanayi A.Ş.;2021;7.679.601.890,00;9.005.985.671,00;;;;;;;2100;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.hayat.com.tr;İstanbul;Üsküdar;Mahir İz Cad. No.25 Altunizade
50;Eti Gıda San. ve Tic. A.Ş.;2021;7.653.066.619,00;7.777.071.465,00;;;4.830.167.330,00;;;147.242,00;;Eskişehir Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.etietieti.com;Eskişehir;Tepebaşı;Hoşnudiye Mah. Kızılcıklı Mahmut Pehlivan Cad. No.11 
51;Baştuğ Metalurji Sanayi A.Ş.;2021;7.571.824.284,00;9.355.178.978,00;613.515.278,00;;;5.201.840,00;504.763.102,00;390.464,00;730;Osmaniye Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.bastugmetalurji.com.tr;Osmaniye;Toprakkale;Osmaniye Organize Sanayi Bölgesi Mustafa Baştuğ Cad. No.8
52;EÜAŞ Elektrik Üretim A.Ş.;2021;7.486.817.833,00;26.884.296.291,00;7.757.901.058,00;19.897.683.141,00;28.708.693.253,00;7.644.535.742,00;7.972.190.819,00;;5951;Kamu;100,00;0,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.euas.gov.tr;Ankara;Çankaya;Mustafa Kemal Mah. Dumlupınar Bulvarı 7. Km. No.166
53;Eren Enerji Elektrik Üretim A.Ş.;2021;7.458.659.192,00;7.947.390.019,00;;6.464.804.052,00;12.006.392.641,00;;;;1223;Zonguldak Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.erenholding.com.tr;İstanbul;Ataşehir;Atatürk Mah. Ertuğrul Gazi Sok. Metropol İstanbul Sitesi C2 A/26
54;ASAŞ Alüminyum San. ve Tic. A.Ş.;2021;7.395.911.065,00;7.519.771.621,00;;;;;;428.110,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.asastr.com;İstanbul;Beykoz;Rüzgarlıbahçe Mah. Kumlu Sok. Asaş İş Merkezi No.2 Kavacık
55;Atakaş Çelik San. ve Tic. A.Ş.;2021;7.325.320.807,00;7.658.537.181,00;;;;;;;;Dörtyol Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.atakas.com.tr;Hatay;Payas;Yenişehir Mah. Şehit Yüzbaşı Ali Oğuz Bul. No.145
56;Toros Tarım San. ve Tic. A.Ş.;2021;7.148.194.273,00;7.534.038.450,00;2.111.833.621,00;3.511.698.894,00;6.797.439.110,00;1.688.256.912,00;2.038.400.958,00;124.212,00;524;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.toros.com.tr;İstanbul;Şişli;Büyükdere Cad. Tekfen Tower No.209 Kat.1920 4.Levent 
57;Kaptan Demir Çelik Endüstrisi ve Ticaret A.Ş.;2021;6.994.769.605,00;7.097.316.188,00;708.508.258,00;1.493.979.997,00;3.415.843.638,00;454.412.143,00;659.857.255,00;614.179,00;996;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.kaptandemir.com.tr;İstanbul;Üsküdar;Fahrettin Kerim Gökay Cad. Bestekar Saadettin Kaynak Sok. No.2 Altunizade
58;Yazıcı Demir Çelik Sanayi ve Turizm Ticaret A.Ş.;2021;6.453.349.620,00;6.870.679.359,00;;;5.348.875.753,00;;;640.732,00;705;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.dilerhld.com;İstanbul;Sarıyer;Maslak Mah. Eskibüyükdere Cad. Koçkaya As Plaza Blok No.1 Kat.2
59;ROKETSAN Roket San. ve Tic. A.Ş.;2021;6.390.468.896,00;6.416.843.171,00;4.354.643.691,00;3.901.892.796,00;12.749.537.276,00;1.109.369.665,00;;;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.roketsan.com.tr;Ankara;Elmadağ;Kemalpaşa Mah. Şehit Yüzbaşı Adem Kutlu Sok. No.21 
60;BRİSA Bridgestone Sabancı Lastik San. ve Tic. A.Ş.;2021;6.207.545.075,00;6.792.255.206,00;2.443.000.425,00;2.103.209.438,00;7.954.264.013,00;1.109.966.798,00;1.576.597.861,00;291.444,00;3115;İstanbul Sanayi Odası;0,00;43,63;43,63;12,74;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.brisa.com.tr;Kocaeli;İzmit;Fatih Mah. Sanayi Cad. No.98 Alikahya
61;Türkiye Şeker Fabrikaları A.Ş.;2021;6.046.336.935,00;6.359.699.960,00;280.062.038,00;3.214.316.402,00;5.242.477.641,00;2.143.175.508,00;997.454.294,00;;5842;Kamu;100,00;0,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.turkseker.gov.tr;Ankara;Çankaya;Mithatpaşa Cad. No.14 Yenişehir
62;Borusan Mannesmann Boru San. ve Tic. A.Ş.;2021;6.000.221.049,00;6.133.809.968,00;1.654.342.075,00;922.243.370,00;6.271.867.293,00;1.007.196.805,00;1.320.768.523,00;237.066,00;1526;İstanbul Sanayi Odası;0,00;73,48;6,67;19,85;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.borusanmannesmann.com;İstanbul;Beyoğlu;Pürtelaş Mah. Meclisi Mebusan Cad. No.3537 
63;CocaCola İçecek A.Ş.;2021;5.921.908.572,00;6.003.630.152,00;1.271.857.957,00;;;1.275.473.210,00;;6.766,00;;İstanbul Sanayi Odası;0,00;52,14;20,09;27,77;İçeceklerin imalatı;11        ;İçki Sanayi (Alkollü ve Alkolsüz);313       ;www.cci.com.tr;İstanbul;Ümraniye;Dudullu OSB Mah. Deniz Feneri Sok. No.4
